id_ag;id_ag_num;stop_name;stop_lat;stop_lon
1;10001;GARE S.N.C.F;46.198807;5.2155623
10;10010;LA FOULE;46.90458;5.772046
100;10100;VILLAGE;46.69638;5.7266626
101;10101;CITE SCOLAIRE;46.436253;5.7226353
102;10102;GENDARMERIE;46.434605;5.725375
103;10103;MOIRANS EN MTGNE VOLTAIRE;46.433613;5.724916
104;10104;POSTE;46.42869;5.725943
105;10105;RTE CRENANS;46.43892;5.7214637
106;10106;MOIRANS-MGNE - FRANCHE COMTE;46.43828;5.722672
107;10107;RD905;46.89664;5.6458125
108;10108;PRE DE LA TOUR;46.67667;5.522836
109;10109;AVENUE MAILLOT;46.675602;5.529921
11;10011;ASNANS CHEMIN DE LA CROZE;46.94666;5.414164
110;10110;GRAND SUGNY;46.686363;5.506111
111;10111;PONT SNCF;46.673035;5.5292606
112;10112;MONT S/S VAUDREY CAR. GARE;46.98252;5.597874
113;10113;MONT S/S VAUDREY EGLISE;46.980595;5.602764
114;10114;MAIRIE-EGLISE;46.5363;6.015862
115;10115;PONT GODARD;46.54158;6.017085
116;10116;MOREZ GARE S.N.C.F.;46.52648;6.0237427
117;10117;MOREZ VILLE;46.520164;6.023046
118;10118;MOREZ PLACE LISSAC;46.51804;6.0240707
119;10119;BEL AIR;46.977936;5.8065424
12;10012;ROUTE DE BOIS LAURENT;46.555397;5.4066553
120;10120;GARE S.N.C.F.;46.97623;5.801104
121;10121;GYMNASE LYCEE BOIS;46.96959;5.7953515
122;10122;NANC ST AMOUR CARF RD3/RD1083;46.423386;5.349342
123;10123;NEUBLANS BAS;46.91462;5.328676
124;10124;NEUBLANS HAUT;46.907536;5.3306456
125;10125;PLACE BASCULE;47.002037;5.5202484
126;10126;SALLE DES FETES;46.598293;5.643512
127;10127;RD1083;46.582058;5.442894
128;10128;SALLE POLYVALENTE;46.51967;5.6101093
129;10129;EGLISE;46.99471;5.666316
13;10013;PLACE;47.017235;5.582976
130;10130;VILLAGE;46.970585;5.817632
131;10131;RD471;46.69602;5.5994487
132;10132;PASQUIER (LE) ABRIBUS;46.799183;5.904264
133;10133;PASQUIER (LE) MAIRIE;46.800446;5.904871
134;10134;RD678;46.58666;5.704442
135;10135;CONDAMINE;46.669216;5.5743027
136;10136;CENTRE COMMERCIAL;46.67016;5.575827
137;10137;SCIERIE;46.665836;5.581287
138;10138;VATAGNA (ORLONG);46.659985;5.590183
139;10139;EGLISE;46.935883;5.343148
14;10014;RD905;46.91064;5.632228
140;10140;LAVIGNE;46.939747;5.3288646
141;10141;RD470;46.52639;5.631695
142;10142;CALVAIRE;46.918335;5.4521728
143;10143;VILLAGE;46.595695;5.629531
144;10144;CHAMP DE FOIRE;46.834427;5.704053
145;10145;CHARMILLES;46.848045;5.6978583
146;10146;PLACE;46.58542;5.698253
147;10147;MOUTAINE;46.898342;5.8926935
148;10148;ANC.PONT SNCF;46.72431;5.7773438
149;10149;ABRIBUS;46.37639;5.7609205
15;10015;LE MONCEAU;46.458332;5.354576
150;10150;SALLE DES FETES;46.76204;5.4478626
151;10151;VILLAGE;46.63521;5.605158
152;10152;ROUSSES (LES) COLLEGE;46.489487;6.069668
153;10153;ROUSSES (LES) GOULAND;46.49446;6.0357337
154;10154;ROUSSES (LES) LA CURE;46.46354;6.072652
155;10155;ROUSSES (LES) LA CURE DOUANE;46.463562;6.0625987
156;10156;ROUSSES (LES) LE GRAVIER VANDELLE;46.50471;6.1040297
157;10157;ROUSSES (LES) LE GRAVIER LACROIX;46.499718;6.0996485
158;10158;ROUSSES (LES) LE NOIRMONT;46.4922;6.0929914
159;10159;ROUSSES (LES) SYNDIC D'INITIATIVE;46.482964;6.0610337
16;10016;RUE DES TILLEULS;46.984535;5.584609
160;10160;PLACE DE LA MAIRIE;46.87122;5.4299192
161;10161;RD1083;46.609947;5.4734783
162;10162;HOTEL DE LA GARE;46.43474;5.3352413
163;10163;ZI;46.43775;5.334346
164;10164;CATHEDRALE;46.386894;5.86587
165;10165;AIGLON;46.380337;5.823611
166;10166;FAUBOURG ECOLE;46.38563;5.86235
167;10167;LYCEE PRE ST SAUVEUR;46.38072;5.869272
168;10168;PONT CIMETIERE;46.384636;5.8637066
169;10169;ROCHEFORT;46.377205;5.872823
17;10017;MAIRIE;46.98112;5.58083
170;10170;RUE CARNOT;46.38099;5.8568945
171;10171;SAINT HUBERT;46.383785;5.8703103
172;10172;GARE SNCF;46.389862;5.860909
173;10173;VILLE;46.391357;5.864299
174;10174;SAINT LAURENT EN GDX GARE SNCF;46.57491;5.951636
175;10175;SAINT LAURENT EN GDX VILLE;46.57613;5.955703
176;10176;SAINT LUPICIN GERTEM;46.394726;5.79459
177;10177;SAINT LUPICIN PLACE MAIRIE;46.397835;5.793338
178;10178;RD678;46.58016;5.929144
179;10179;LES PRAILLES;46.92121;5.88629
18;10018;PLACE/POSTE;46.57475;5.4362173
180;10180;CASINO;46.93821;5.877439
181;10181;SALINS GARE SNCF;46.94931;5.872699
182;10182;LYCEE;46.949078;5.8829007
183;10183;OLIVET;46.947205;5.8777313
184;10184;PLACE AUBAREDE;46.932926;5.8785586
185;10185;PLACE STE MARIE;46.9291;5.886987
186;10186;POSTE;46.827465;5.565303
187;10187;SEPTMONCEL BELLECOMBE;46.378986;5.9254217
188;10188;SEPTMONCEL CLAVIERES;46.386856;5.9395747
