id_ligne_num;route_short_name;route_long_name;sous_ligne;id_ag_num_debut;id_ag_num_terminus;direction_id;nb_arrets;DIST_Vol_Oiseau;ag_origin_name;ag_destination_name
1;301;LONS - DOLE TGV - EXPRESS;1_1_10067_10088_6_48426.0;10067;10088;1;6;48426.0;GARE ROUTIERE;LONS GARE SNCF
1;301;LONS - DOLE TGV - EXPRESS;1_0_10088_10067_6_48426.0;10088;10067;0;6;48426.0;LONS GARE SNCF;GARE ROUTIERE
2;303;BOURG - LONS;2_0_10001_10088_35_63111.0;10001;10088;0;35;63111.0;GARE S.N.C.F;LONS GARE SNCF
2;303;BOURG - LONS;2_0_10239_10088_17_61968.0;10239;10088;0;17;61968.0;LABALME;LONS GARE SNCF
2;303;BOURG - LONS;2_0_10001_10086_23_62831.0;10001;10086;0;23;62831.0;GARE S.N.C.F;LONS AVENUE THUREL
2;303;BOURG - LONS;2_0_10001_10086_36_63553.0;10001;10086;0;36;63553.0;GARE S.N.C.F;LONS AVENUE THUREL
2;303;BOURG - LONS;2_0_10239_10086_37_64363.0;10239;10086;0;37;64363.0;LABALME;LONS AVENUE THUREL
2;303;BOURG - LONS;2_1_10086_10239_20_62523.0;10086;10239;1;20;62523.0;LONS AVENUE THUREL;LABALME
2;303;BOURG - LONS;2_1_10086_10239_36_64369.0;10086;10239;1;36;64369.0;LONS AVENUE THUREL;LABALME
2;303;BOURG - LONS;2_1_10086_10239_37_64412.0;10086;10239;1;37;64412.0;LONS AVENUE THUREL;LABALME
3;306;HAUTS DE BIENNE - BOIS AMONT;3_1_10022_10116_15_19540.0;10022;10116;1;15;19540.0;FRONTIERE;MOREZ GARE S.N.C.F.
3;306;HAUTS DE BIENNE - BOIS AMONT;3_1_10022_10116_17_20971.0;10022;10116;1;17;20971.0;FRONTIERE;MOREZ GARE S.N.C.F.
3;306;HAUTS DE BIENNE - BOIS AMONT;3_1_10236_10116_18_24775.0;10236;10116;1;18;24775.0;2982 RUE DU VIVIER;MOREZ GARE S.N.C.F.
