id_course;id_course_num;id_ligne_num;id_service_num;sous_ligne;direction_id;id_ap_num_debut;id_ag_num_debut;h_dep_num;heure_depart;id_ap_num_terminus;id_ag_num_terminus;heure_arrive;h_arr_num;nb_arrets;DIST_Vol_Oiseau
418-1-7;2;1;5;1_1_10067_10088_6_48426.0;1;100076;10067;0.2743055555555556;06:35;100098;10088;07:35;0.31597222222222227;6;48426.0
418-1-8;13;1;5;1_1_10067_10088_6_48426.0;1;100076;10067;0.7222222222222222;17:19;100098;10088;18:19;0.7638888888888888;6;48426.0
417-1-12;136;1;5;1_0_10088_10067_6_48426.0;0;100098;10088;0.2743055555555556;06:35;100076;10067;07:35;0.31597222222222227;6;48426.0
417-1-5;147;1;5;1_0_10088_10067_6_48426.0;0;100098;10088;0.21180555555555555;05:04;100076;10067;06:04;0.2534722222222222;6;48426.0
417-1-16;158;1;5;1_0_10088_10067_6_48426.0;0;100098;10088;0.5694444444444444;13:39;100076;10067;14:40;0.6111111111111112;6;48426.0
418-1-1;169;1;5;1_1_10067_10088_6_48426.0;1;100076;10067;0.31597222222222227;07:35;100098;10088;08:35;0.3576388888888889;6;48426.0
417-1-13;24;1;6;1_0_10088_10067_6_48426.0;0;100098;10088;0.3194444444444445;07:40;100076;10067;08:39;0.3611111111111111;6;48426.0
417-1-15;35;1;6;1_0_10088_10067_6_48426.0;0;100098;10088;0.7708333333333334;18:30;100076;10067;19:30;0.8125;6;48426.0
417-1-14;46;1;7;1_0_10088_10067_6_48426.0;0;100098;10088;0.53125;12:45;100076;10067;13:45;0.5729166666666666;6;48426.0
418-1-2;57;1;7;1_1_10067_10088_6_48426.0;1;100076;10067;0.5347222222222222;12:49;100098;10088;13:49;0.5763888888888888;6;48426.0
417-1-7;68;1;8;1_0_10088_10067_6_48426.0;0;100098;10088;0.6979166666666666;16:45;100076;10067;17:45;0.7395833333333334;6;48426.0
418-1-4;79;1;9;1_1_10067_10088_6_48426.0;1;100076;10067;0.7604166666666666;18:15;100098;10088;19:15;0.8020833333333333;6;48426.0
418-1-9;90;1;10;1_1_10067_10088_6_48426.0;1;100076;10067;0.8055555555555555;19:19;100098;10088;20:19;0.8472222222222222;6;48426.0
1009230-1-3;94;2;2;2_0_10001_10086_36_63553.0;0;100001;10001;0.2951388888888889;07:05;100096;10086;08:39;0.3611111111111111;36;63553.0
1010070-1-2;95;2;2;2_1_10086_10239_36_64369.0;1;100096;10086;0.31597222222222227;07:35;100270;10239;09:14;0.38472222222222224;36;64369.0
1009231-1-1;99;2;5;2_0_10239_10086_37_64363.0;0;100270;10239;0.3229166666666667;07:45;100096;10086;09:40;0.4027777777777778;37;64363.0
1009232-1-1;100;2;5;2_0_10001_10088_35_63111.0;0;100001;10001;0.7291666666666667;17:30;100098;10088;19:04;0.7951388888888888;35;63111.0
1010069-1-1;101;2;5;2_1_10086_10239_20_62523.0;1;100096;10086;0.25;06:00;100270;10239;07:37;0.31736111111111115;20;62523.0
1010070-1-6;102;2;5;2_1_10086_10239_36_64369.0;1;100096;10086;0.7222222222222222;17:19;100270;10239;19:00;0.7923611111111111;36;64369.0
1010070-1-3;109;2;6;2_1_10086_10239_36_64369.0;1;100096;10086;0.6805555555555555;16:19;100270;10239;18:00;0.7506944444444444;36;64369.0
1009231-1-3;104;2;9;2_0_10239_10086_37_64363.0;0;100270;10239;0.6805555555555555;16:19;100096;10086;18:04;0.7534722222222222;37;64363.0
1009231-1-4;105;2;9;2_0_10239_10086_37_64363.0;0;100270;10239;0.5069444444444444;12:09;100096;10086;13:56;0.5812499999999999;37;64363.0
1009233-1-1;106;2;9;2_0_10239_10088_17_61968.0;0;100270;10239;0.7569444444444444;18:09;100098;10088;19:39;0.8194444444444444;17;61968.0
1010070-1-1;107;2;9;2_1_10086_10239_36_64369.0;1;100096;10086;0.5104166666666666;12:15;100270;10239;13:57;0.5819444444444444;36;64369.0
1010070-1-4;108;2;9;2_1_10086_10239_36_64369.0;1;100096;10086;0.7638888888888888;18:19;100270;10239;19:50;0.8270833333333333;36;64369.0
1009230-1-4;96;2;13;2_0_10001_10086_36_63553.0;0;100001;10001;0.2951388888888889;07:05;100096;10086;08:39;0.3611111111111111;36;63553.0
