id_ligne_num;service_id;id_service_num;Date_GTFS;Type_Jour_Vacances_A
1;305-3-127;5;20241010;Jeudi_Scolaire
1;305-3-127;5;20241007;Lundi_Scolaire
1;305-3-127;5;20241008;Mardi_Scolaire
1;305-3-127;5;20241009;Mercredi_Scolaire
1;305-3-127;5;20241021;Semaine_Vacances
1;305-3-127;5;20241011;Vendredi_Scolaire
2;305-3-127;5;20241010;Jeudi_Scolaire
2;305-3-127;5;20241007;Lundi_Scolaire
2;305-3-127;5;20241008;Mardi_Scolaire
2;305-3-127;5;20241009;Mercredi_Scolaire
2;305-3-127;5;20241021;Semaine_Vacances
2;305-3-127;5;20241011;Vendredi_Scolaire
5;305-3-127;5;20241010;Jeudi_Scolaire
5;305-3-127;5;20241007;Lundi_Scolaire
5;305-3-127;5;20241008;Mardi_Scolaire
5;305-3-127;5;20241009;Mercredi_Scolaire
5;305-3-127;5;20241021;Semaine_Vacances
5;305-3-127;5;20241011;Vendredi_Scolaire
8;305-3-127;5;20241010;Jeudi_Scolaire
8;305-3-127;5;20241007;Lundi_Scolaire
8;305-3-127;5;20241008;Mardi_Scolaire
8;305-3-127;5;20241009;Mercredi_Scolaire
8;305-3-127;5;20241021;Semaine_Vacances
8;305-3-127;5;20241011;Vendredi_Scolaire
1;118-3-127;6;20241101;Ferie
1;118-3-127;6;20241010;Jeudi_Scolaire
1;118-3-127;6;20241007;Lundi_Scolaire
1;118-3-127;6;20241008;Mardi_Scolaire
1;118-3-127;6;20241009;Mercredi_Scolaire
1;118-3-127;6;20241012;Samedi_Scolaire
1;118-3-127;6;20241019;Samedi_Vacances
1;118-3-127;6;20241021;Semaine_Vacances
1;118-3-127;6;20241011;Vendredi_Scolaire
2;118-3-127;6;20241101;Ferie
2;118-3-127;6;20241010;Jeudi_Scolaire
2;118-3-127;6;20241007;Lundi_Scolaire
2;118-3-127;6;20241008;Mardi_Scolaire
2;118-3-127;6;20241009;Mercredi_Scolaire
2;118-3-127;6;20241012;Samedi_Scolaire
2;118-3-127;6;20241019;Samedi_Vacances
2;118-3-127;6;20241021;Semaine_Vacances
2;118-3-127;6;20241011;Vendredi_Scolaire
1;119-3-127;7;20241013;Dimanche_Scolaire
1;119-3-127;7;20241020;Dimanche_Vacances
1;119-3-127;7;20241101;Ferie
1;119-3-127;7;20241010;Jeudi_Scolaire
1;119-3-127;7;20241007;Lundi_Scolaire
1;119-3-127;7;20241008;Mardi_Scolaire
1;119-3-127;7;20241009;Mercredi_Scolaire
1;119-3-127;7;20241012;Samedi_Scolaire
1;119-3-127;7;20241019;Samedi_Vacances
1;119-3-127;7;20241021;Semaine_Vacances
1;119-3-127;7;20241011;Vendredi_Scolaire
8;119-3-127;7;20241013;Dimanche_Scolaire
8;119-3-127;7;20241020;Dimanche_Vacances
8;119-3-127;7;20241101;Ferie
8;119-3-127;7;20241010;Jeudi_Scolaire
8;119-3-127;7;20241007;Lundi_Scolaire
8;119-3-127;7;20241008;Mardi_Scolaire
8;119-3-127;7;20241009;Mercredi_Scolaire
8;119-3-127;7;20241012;Samedi_Scolaire
8;119-3-127;7;20241019;Samedi_Vacances
8;119-3-127;7;20241021;Semaine_Vacances
8;119-3-127;7;20241011;Vendredi_Scolaire
1;120-3-127;8;20241013;Dimanche_Scolaire
1;120-3-127;8;20241020;Dimanche_Vacances
1;120-3-127;8;20241101;Ferie
1;120-3-127;8;20241010;Jeudi_Scolaire
