FROMNODE;TONODE;Dimanche_Scolaire;Dimanche_Vacances;Ferie;Jeudi_Scolaire;Lundi_Scolaire;Mardi_Scolaire;Mercredi_Scolaire;Samedi_Scolaire;Samedi_Vacances;Semaine_Vacances;Vendredi_Scolaire;NAME_x;LON_x;LAT_x;NAME_y;LON_y;LAT_y;ID
10001;10233.0;0;0;1;7;7;7;7;4;4;6;7;GARE S.N.C.F;5.2155623;46.198807;CARRE AMIOT;5.2279296;46.207542;0
10222;10233.0;0;0;2;6;6;6;6;4;4;6;6;AV BAD KREUZNACH;5.2429495;46.21463;CARRE AMIOT;5.2279296;46.207542;1
10001;10239.0;0;0;2;6;6;6;6;4;4;6;6;GARE S.N.C.F;5.2155623;46.198807;LABALME;5.2259946;46.1998;2
10002;10005.0;0;0;2;6;6;6;6;4;4;6;6;MAIRIE;5.3451653;46.382607;RD1083;5.3328676;46.364235;3
10007;10005.0;0;0;1;7;7;7;7;4;4;6;7;ECOLE;5.320702;46.345848;RD1083;5.3328676;46.364235;4
10002;10051.0;0;0;1;7;7;7;7;4;4;6;7;MAIRIE;5.3451653;46.382607;CARF RD77/RD1083;5.351449;46.41682;5
10122;10051.0;0;0;2;6;6;6;6;4;4;6;6;NANC ST AMOUR CARF RD3/RD1083;5.349342;46.423386;CARF RD77/RD1083;5.351449;46.41682;6
10003;10075.0;0;0;0;0;0;0;2;3;3;2;0;VILLAGE;5.994941;46.36723;ECOLE;5.972402;46.374878;7
10076;10075.0;0;0;0;0;0;0;2;2;2;2;0;COMBE DU LAC;5.986255;46.401543;ECOLE;5.972402;46.374878;8
10077;10075.0;0;0;0;2;2;2;0;0;0;0;2;VILLAGE;5.9677773;46.394436;ECOLE;5.972402;46.374878;9
10004;10222.0;0;0;2;6;6;6;6;4;4;6;6;VILLAGE;5.295291;46.28948;AV BAD KREUZNACH;5.2429495;46.21463;10
10004;10225.0;0;0;1;7;7;7;7;4;4;6;7;VILLAGE;5.295291;46.28948;MOULIN DES PONTS;5.314566;46.3322;11
10005;10002.0;0;0;1;7;7;7;7;4;4;6;7;RD1083;5.3328676;46.364235;MAIRIE;5.3451653;46.382607;12
10051;10002.0;0;0;2;6;6;6;6;4;4;6;6;CARF RD77/RD1083;5.351449;46.41682;MAIRIE;5.3451653;46.382607;13
10005;10007.0;0;0;2;6;6;6;6;4;4;6;6;RD1083;5.3328676;46.364235;ECOLE;5.320702;46.345848;14
10225;10007.0;0;0;1;7;7;7;7;4;4;6;7;MOULIN DES PONTS;5.314566;46.3322;ECOLE;5.320702;46.345848;15
10006;10004.0;0;0;2;6;6;6;6;4;4;6;6;CARFRD28/RD1083;5.3133264;46.32939;VILLAGE;5.295291;46.28948;16
10226;10004.0;0;0;1;7;7;7;7;4;4;6;7;ALIMENTEC TUB;5.243946;46.21531;VILLAGE;5.295291;46.28948;17
10007;10006.0;0;0;2;6;6;6;6;4;4;6;6;ECOLE;5.320702;46.345848;CARFRD28/RD1083;5.3133264;46.32939;18
10008;10039.0;0;0;0;0;0;0;1;0;0;2;0;ABRIBUS;5.932593;46.85263;PLACE PROST CHALET;5.9091396;46.746956;19
10062;10039.0;0;0;0;1;2;1;1;0;0;0;1;MAIRIE;5.8138304;46.751118;PLACE PROST CHALET;5.9091396;46.746956;20
10133;10039.0;0;0;0;2;2;2;1;0;0;0;2;PASQUIER (LE) MAIRIE;5.904871;46.800446;PLACE PROST CHALET;5.9091396;46.746956;21
10229;10039.0;0;0;0;1;1;1;1;0;0;0;1;MAIRIE;5.899922;46.87087;PLACE PROST CHALET;5.9091396;46.746956;22
10008;10202.0;0;0;0;2;2;2;1;0;0;0;2;ABRIBUS;5.932593;46.85263;MAIRIE;5.9159174;46.815342;23
10132;10202.0;0;0;0;1;1;1;1;0;0;0;1;PASQUIER (LE) ABRIBUS;5.904264;46.799183;MAIRIE;5.9159174;46.815342;24
10008;10229.0;0;0;0;3;3;3;3;0;0;2;3;ABRIBUS;5.932593;46.85263;MAIRIE;5.899922;46.87087;25
10033;10229.0;0;0;0;0;0;0;1;0;0;2;0;COTE BELETTES;5.886891;46.91681;MAIRIE;5.899922;46.87087;26
10147;10229.0;0;0;0;3;3;3;2;0;0;0;3;MOUTAINE;5.8926935;46.898342;MAIRIE;5.899922;46.87087;27
10009;10010.0;0;0;0;3;3;3;2;0;0;1;3;TOURISME;5.757661;46.91398;LA FOULE;5.772046;46.90458;28
10009;10197.0;0;0;0;1;1;1;1;0;0;1;1;TOURISME;5.757661;46.91398;CARF. RD 469;5.7022843;46.92231;29
10094;10197.0;0;0;0;3;3;3;2;0;0;1;3;MOLAMBOZ;5.677891;46.931664;CARF. RD 469;5.7022843;46.92231;30
10010;10009.0;0;0;0;1;1;1;1;0;0;1;1;LA FOULE;5.772046;46.90458;TOURISME;5.757661;46.91398;31
10197;10009.0;0;0;0;3;3;3;2;0;0;1;3;CARF. RD 469;5.7022843;46.92231;TOURISME;5.757661;46.91398;32
10011;10035.0;0;0;2;2;2;2;2;0;0;2;2;ASNANS CHEMIN DE LA CROZE;5.414164;46.94666;(LA) GRANDE RU;5.4424973;46.9261;33
10142;10035.0;0;0;2;3;3;3;2;0;0;2;3;CALVAIRE;5.4521728;46.918335;(LA) GRANDE RU;5.4424973;46.9261;34
10011;10047.0;0;0;2;3;3;3;2;0;0;2;3;ASNANS CHEMIN DE LA CROZE;5.414164;46.94666;FRAMBOISY;5.406316;46.958874;35
10045;10047.0;0;0;2;5;5;5;4;0;0;4;5;PLACE GARE;5.4150367;46.966805;FRAMBOISY;5.406316;46.958874;36
10082;10047.0;0;0;2;1;1;1;1;0;0;4;1;LONGWY EGLISE;5.372115;46.95822;FRAMBOISY;5.406316;46.958874;37
10083;10047.0;0;0;0;1;1;1;1;0;0;0;1;LONGWY HOTELANS RD13;5.360749;46.94889;FRAMBOISY;5.406316;46.958874;38
10012;10063.0;0;0;2;5;5;5;5;4;4;5;5;ROUTE DE BOIS LAURENT;5.4066553;46.555397;BIFURCATION DEVIATION;5.3962564;46.53978;39
10012;10095.0;0;0;1;6;6;6;6;3;3;5;6;ROUTE DE BOIS LAURENT;5.4066553;46.555397;CARF LE SORBIER;5.4167595;46.566044;40
10018;10095.0;0;0;2;5;5;5;5;4;4;5;5;PLACE/POSTE;5.4362173;46.57475;CARF LE SORBIER;5.4167595;46.566044;41
10013;10019.0;0;0;0;3;3;3;2;0;0;1;3;PLACE;5.582976;47.017235;RUE DU VAL D'AMOUR;5.594162;47.01555;42
10112;10019.0;0;0;0;0;0;0;0;0;0;1;0;MONT S/S VAUDREY CAR. GARE;5.597874;46.98252;RUE DU VAL D'AMOUR;5.594162;47.01555;43
10113;10019.0;0;0;0;1;1;1;1;0;0;0;1;MONT S/S VAUDREY EGLISE;5.602764;46.980595;RUE DU VAL D'AMOUR;5.594162;47.01555;44
10013;10091.0;0;0;0;1;1;1;1;0;0;1;1;PLACE;5.582976;47.017235;LOYE (LA) PLACE;5.5580373;47.02637;45
10065;10091.0;0;0;0;3;3;3;2;0;0;1;3;AVENUE DE LAHR;5.4956546;47.08937;LOYE (LA) PLACE;5.5580373;47.02637;46
10014;10107.0;0;0;0;2;2;2;2;0;0;1;2;RD905;5.632228;46.91064;RD905;5.6458125;46.89664;47
10196;10107.0;0;0;0;1;1;1;1;0;0;1;1;VILLAGE PARKING;5.683942;46.859955;RD905;5.6458125;46.89664;48
10014;10232.0;0;0;0;1;1;1;1;0;0;1;1;RD905;5.632228;46.91064;RTE  POLIGNY;5.6044445;46.97222;49
10113;10232.0;0;0;0;2;2;2;2;0;0;1;2;MONT S/S VAUDREY EGLISE;5.602764;46.980595;RTE  POLIGNY;5.6044445;46.97222;50
10015;10163.0;0;0;2;6;6;6;6;4;4;6;6;LE MONCEAU;5.354576;46.458332;ZI;5.334346;46.43775;51
10162;10163.0;0;0;1;7;7;7;7;4;4;6;7;HOTEL DE LA GARE;5.3352413;46.43474;ZI;5.334346;46.43775;52
10015;10215.0;0;0;1;6;6;6;6;3;3;5;6;LE MONCEAU;5.354576;46.458332;LE BOURG;5.3593626;46.46839;53
10163;10215.0;0;0;0;1;1;1;1;1;1;1;1;ZI;5.334346;46.43775;LE BOURG;5.3593626;46.46839;54
10016;10017.0;0;0;0;2;2;2;2;0;0;1;2;RUE DES TILLEULS;5.584609;46.984535;MAIRIE;5.58083;46.98112;55
10112;10017.0;0;0;0;1;1;1;1;0;0;1;1;MONT S/S VAUDREY CAR. GARE;5.597874;46.98252;MAIRIE;5.58083;46.98112;56
10016;10241.0;0;0;0;1;1;1;1;0;0;1;1;RUE DES TILLEULS;5.584609;46.984535;MIGAILLE;5.557543;46.992146;57
10017;10016.0;0;0;0;1;1;1;1;0;0;1;1;MAIRIE;5.58083;46.98112;RUE DES TILLEULS;5.584609;46.984535;58
10192;10016.0;0;0;0;2;2;2;2;0;0;1;2;RN 63;5.558586;46.991436;RUE DES TILLEULS;5.584609;46.984535;59
10017;10113.0;0;0;0;2;2;2;2;0;0;1;2;MAIRIE;5.58083;46.98112;MONT S/S VAUDREY EGLISE;5.602764;46.980595;60
10198;10113.0;0;0;0;1;1;1;1;0;0;0;1;EGLISE;5.621882;46.98029;MONT S/S VAUDREY EGLISE;5.602764;46.980595;61
10018;10088.0;0;0;0;1;1;1;1;1;1;1;1;PLACE/POSTE;5.4362173;46.57475;LONS GARE SNCF;5.5524235;46.66883;62
10053;10088.0;0;0;0;1;1;1;1;0;0;1;1;CLAIRVAUX MAIRIE;5.750546;46.576077;LONS GARE SNCF;5.5524235;46.66883;63
10058;10088.0;0;0;0;1;2;1;1;1;1;1;1;VILLAGE;5.59837;46.65459;LONS GARE SNCF;5.5524235;46.66883;64
10084;10088.0;0;0;5;6;8;6;6;6;6;6;6;LONS AVENUE JEAN MOULIN;5.558232;46.673122;LONS GARE SNCF;5.5524235;46.66883;65
10085;10088.0;0;0;2;4;4;4;2;0;0;2;4;LONS AVENUE DE LA MARSEILLAISE;5.5554934;46.6725;LONS GARE SNCF;5.5524235;46.66883;66
10086;10088.0;0;0;2;6;6;6;6;4;4;6;6;LONS AVENUE THUREL;5.553163;46.67277;LONS GARE SNCF;5.5524235;46.66883;67
10089;10088.0;0;0;1;7;7;7;7;3;3;5;7;LONS LYCEE MONTCIEL;5.5416427;46.672802;LONS GARE SNCF;5.5524235;46.66883;68
10110;10088.0;0;0;2;1;1;1;1;0;0;2;1;GRAND SUGNY;5.506111;46.686363;LONS GARE SNCF;5.5524235;46.66883;69
10135;10088.0;0;0;0;1;1;1;1;0;0;1;3;CONDAMINE;5.5743027;46.669216;LONS GARE SNCF;5.5524235;46.66883;70
10136;10088.0;0;0;0;5;5;5;4;2;2;3;5;CENTRE COMMERCIAL;5.575827;46.67016;LONS GARE SNCF;5.5524235;46.66883;71
10186;10088.0;2;2;2;5;5;5;5;2;2;5;6;POSTE;5.565303;46.827465;LONS GARE SNCF;5.5524235;46.66883;72
10228;10088.0;0;0;0;1;1;1;1;1;1;1;1;PLACE DE VERDUN;5.5594416;46.67388;LONS GARE SNCF;5.5524235;46.66883;73
10243;10088.0;0;0;0;0;0;0;1;1;1;0;1;FAC DES SCIENCES;5.064015;47.31494;LONS GARE SNCF;5.5524235;46.66883;74
10018;10127.0;0;0;1;5;5;5;5;3;3;5;5;PLACE/POSTE;5.4362173;46.57475;RD1083;5.442894;46.582058;75
10201;10127.0;0;0;2;5;5;5;5;4;4;5;5;RD1083;5.4543915;46.594078;RD1083;5.442894;46.582058;76
10018;10230.0;0;0;0;1;1;1;1;0;0;1;1;PLACE/POSTE;5.4362173;46.57475;CHAMP DE FOIRE;5.3865986;46.494083;77
10212;10230.0;0;0;1;5;5;5;5;3;3;5;5;GOZ;5.367117;46.48121;CHAMP DE FOIRE;5.3865986;46.494083;78
