id_ligne_num;route_short_name;route_long_name;id_ag_num_debut;id_ag_num_terminus;Origin;Destination;Dimanche_Scolaire;Dimanche_Vacances;Ferie;Jeudi_Scolaire;Lundi_Scolaire;Mardi_Scolaire;Mercredi_Scolaire;Samedi_Scolaire;Samedi_Vacances;Semaine_Vacances;Vendredi_Scolaire
1;301;LONS - DOLE TGV - EXPRESS;10088;10067;LONS GARE SNCF;GARE ROUTIERE;4;4;6;12;12;12;12;5;5;12;13
2;303;BOURG - LONS;10001;10086;GARE S.N.C.F;LONS AVENUE THUREL;0;0;3;13;13;13;13;8;8;12;13
3;306;HAUTS DE BIENNE - BOIS AMONT;10116;10236;MOREZ GARE S.N.C.F.;2982 RUE DU VIVIER;0;0;2;5;5;5;5;2;2;2;5
4;307;SAINT-CLAUDE  - LONS LE SAUNIER;10172;10088;GARE SNCF;LONS GARE SNCF;0;0;5;8;11;8;6;6;6;6;9
5;309;LONS LE SAUNIER - MOREZ;10116;10088;MOREZ GARE S.N.C.F.;LONS GARE SNCF;0;0;1;5;7;5;5;2;2;5;7
6;312;ARBOIS-MOUCHARD-DOLE;10010;10067;LA FOULE;GARE ROUTIERE;0;0;0;4;4;4;3;0;0;2;4
7;313;SALINS-CHAMPAGNOLE-SALINS-LES-BAINS;10182;10038;LYCEE;LYCEE P. E. VICTOR;0;0;0;6;6;6;6;0;0;4;6
8;314;MOUCHARD - SALINS LES BAINS;10120;10220;GARE S.N.C.F.;SALINES;4;4;4;12;13;12;10;4;4;10;12
9;315;CHAMPAGNOLE - LONS LE SAUNIER;10037;10088;GARE S.N.C.F.;LONS GARE SNCF;0;0;0;10;11;10;7;4;4;6;10
10;317;CHAUSSIN - LONS LE SAUNIER;10046;10088;GENDARMERIE;LONS GARE SNCF;0;0;4;7;7;7;5;0;0;4;7
11;318;PIERRE DE BRESSE - DOLE;10216;10067;CHATEAU D'EAU;GARE ROUTIERE;0;0;2;5;5;5;4;0;0;6;5
12;320;POLIGNY - DOLE;10144;10067;CHAMP DE FOIRE;GARE ROUTIERE;0;0;0;3;3;3;3;0;0;2;3
13;305;SAINT-CLAUDE -  MIJOUX;10172;10003;GARE SNCF;VILLAGE;0;0;0;3;3;3;5;5;5;4;3
14;300;LONS LE SAUNIER - DIJON;10088;10240;LONS GARE SNCF;REPUBLIQUE;1;1;1;0;1;1;1;2;2;1;1
