id_ligne_num;route_short_name;route_long_name;id_ag_num_debut;id_ag_num_terminus;Origin;Destination;Dimanche_Scolaire;Dimanche_Vacances;Ferie;Jeudi_Scolaire;Lundi_Scolaire;Mardi_Scolaire;Mercredi_Scolaire;Samedi_Scolaire;Samedi_Vacances;Semaine_Vacances;Vendredi_Scolaire
1;301;LONS - DOLE TGV - EXPRESS;10088;10067;LONS GARE SNCF;GARE ROUTIERE;193.704;193.704;290.556;581.112;581.112;581.112;581.112;242.13;242.13;581.112;629.538
2;303;BOURG - LONS;10001;10086;GARE S.N.C.F;LONS AVENUE THUREL;0.0;0.0;192.291;828.963;828.963;828.963;828.963;511.723;511.723;766.089;828.963
3;306;HAUTS DE BIENNE - BOIS AMONT;10116;10236;MOREZ GARE S.N.C.F.;2982 RUE DU VIVIER;0.0;0.0;47.217;112.615;112.615;112.615;126.586;52.452;52.452;39.489;112.615
4;307;SAINT-CLAUDE  - LONS LE SAUNIER;10172;10088;GARE SNCF;LONS GARE SNCF;0.0;0.0;281.082;405.874;553.783;405.874;311.247;337.435;338.396;338.396;455.507
5;309;LONS LE SAUNIER - MOREZ;10116;10088;MOREZ GARE S.N.C.F.;LONS GARE SNCF;0.0;0.0;42.987;202.105;296.861;202.105;204.986;95.635;95.635;202.105;296.861
6;312;ARBOIS-MOUCHARD-DOLE;10010;10067;LA FOULE;GARE ROUTIERE;0.0;0.0;0.0;142.114;142.114;142.114;110.222;0.0;0.0;64.851;142.114
7;313;SALINS-CHAMPAGNOLE-SALINS-LES-BAINS;10182;10038;LYCEE;LYCEE P. E. VICTOR;0.0;0.0;0.0;153.459;153.459;153.459;151.956;0.0;0.0;96.1;153.459
8;314;MOUCHARD - SALINS LES BAINS;10120;10220;GARE S.N.C.F.;SALINES;32.408;32.408;32.408;101.48;108.911;101.48;84.174;32.408;32.408;82.597;101.48
9;315;CHAMPAGNOLE - LONS LE SAUNIER;10037;10088;GARE S.N.C.F.;LONS GARE SNCF;0.0;0.0;0.0;317.305;350.007;317.305;221.195;125.26;125.26;187.89;317.305
10;317;CHAUSSIN - LONS LE SAUNIER;10046;10088;GENDARMERIE;LONS GARE SNCF;0.0;0.0;178.308;277.226;277.226;277.226;208.647;0.0;0.0;178.308;277.226
11;318;PIERRE DE BRESSE - DOLE;10216;10067;CHATEAU D'EAU;GARE ROUTIERE;0.0;0.0;71.758;183.952;183.952;183.952;148.131;0.0;0.0;215.274;183.952
12;320;POLIGNY - DOLE;10144;10067;CHAMP DE FOIRE;GARE ROUTIERE;0.0;0.0;0.0;114.392;114.392;114.392;114.392;0.0;0.0;74.342;114.392
13;305;SAINT-CLAUDE -  MIJOUX;10172;10003;GARE SNCF;VILLAGE;0.0;0.0;0.0;44.205;44.205;44.205;86.633;88.484;88.484;69.787;44.205
14;300;LONS LE SAUNIER - DIJON;10088;10240;LONS GARE SNCF;REPUBLIQUE;82.863;82.863;82.863;0.0;82.863;82.863;82.824;165.687;165.687;82.863;82.824
