sous_ligne;id_ligne_num;route_short_name;route_long_name;id_ag_num_debut;id_ag_num_terminus;ag_origin_name;ag_destination_name;Dimanche_Scolaire;Dimanche_Vacances;Ferie;Jeudi_Scolaire;Lundi_Scolaire;Mardi_Scolaire;Mercredi_Scolaire;Samedi_Scolaire;Samedi_Vacances;Semaine_Vacances;Vendredi_Scolaire
1_1_10067_10088_6_48426.0;1;301;LONS - DOLE TGV - EXPRESS;10067;10088;GARE ROUTIERE;LONS GARE SNCF;96.852;96.852;96.852;242.13;242.13;242.13;242.13;96.852;96.852;242.13;290.556
1_0_10088_10067_6_48426.0;1;301;LONS - DOLE TGV - EXPRESS;10088;10067;LONS GARE SNCF;GARE ROUTIERE;96.852;96.852;193.704;338.982;338.982;338.982;338.982;145.278;145.278;338.982;338.982
2_0_10001_10088_35_63111.0;2;303;BOURG - LONS;10001;10088;GARE S.N.C.F;LONS GARE SNCF;0.0;0.0;0.0;63.111;63.111;63.111;63.111;0.0;0.0;63.111;63.111
2_0_10239_10088_17_61968.0;2;303;BOURG - LONS;10239;10088;LABALME;LONS GARE SNCF;0.0;0.0;0.0;61.968;61.968;61.968;61.968;61.968;61.968;61.968;61.968
2_0_10001_10086_23_62831.0;2;303;BOURG - LONS;10001;10086;GARE S.N.C.F;LONS AVENUE THUREL;0.0;0.0;0.0;62.831;62.831;62.831;62.831;0.0;0.0;0.0;62.831
2_0_10001_10086_36_63553.0;2;303;BOURG - LONS;10001;10086;GARE S.N.C.F;LONS AVENUE THUREL;0.0;0.0;63.553;63.553;63.553;63.553;63.553;63.553;63.553;63.553;63.553
2_0_10239_10086_37_64363.0;2;303;BOURG - LONS;10239;10086;LABALME;LONS AVENUE THUREL;0.0;0.0;0.0;193.089;193.089;193.089;193.089;128.726;128.726;193.089;193.089
2_1_10086_10239_20_62523.0;2;303;BOURG - LONS;10086;10239;LONS AVENUE THUREL;LABALME;0.0;0.0;0.0;62.523;62.523;62.523;62.523;0.0;0.0;62.523;62.523
2_1_10086_10239_36_64369.0;2;303;BOURG - LONS;10086;10239;LONS AVENUE THUREL;LABALME;0.0;0.0;128.738;257.476;257.476;257.476;257.476;257.476;257.476;321.845;257.476
2_1_10086_10239_37_64412.0;2;303;BOURG - LONS;10086;10239;LONS AVENUE THUREL;LABALME;0.0;0.0;0.0;64.412;64.412;64.412;64.412;0.0;0.0;0.0;64.412
3_1_10022_10116_15_19540.0;3;306;HAUTS DE BIENNE - BOIS AMONT;10022;10116;FRONTIERE;MOREZ GARE S.N.C.F.;0.0;0.0;19.54;0.0;0.0;0.0;0.0;0.0;0.0;19.54;0.0
3_1_10022_10116_17_20971.0;3;306;HAUTS DE BIENNE - BOIS AMONT;10022;10116;FRONTIERE;MOREZ GARE S.N.C.F.;0.0;0.0;0.0;20.971;20.971;20.971;20.971;0.0;0.0;0.0;20.971
3_1_10236_10116_18_24775.0;3;306;HAUTS DE BIENNE - BOIS AMONT;10236;10116;2982 RUE DU VIVIER;MOREZ GARE S.N.C.F.;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.775;24.775;0.0;0.0
3_0_10116_10022_14_16708.0;3;306;HAUTS DE BIENNE - BOIS AMONT;10116;10022;MOREZ GARE S.N.C.F.;FRONTIERE;0.0;0.0;0.0;16.708;16.708;16.708;0.0;0.0;0.0;0.0;16.708
3_0_10116_10022_15_19949.0;3;306;HAUTS DE BIENNE - BOIS AMONT;10116;10022;MOREZ GARE S.N.C.F.;FRONTIERE;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.949;0.0
3_0_10116_10236_15_25496.0;3;306;HAUTS DE BIENNE - BOIS AMONT;10116;10236;MOREZ GARE S.N.C.F.;2982 RUE DU VIVIER;0.0;0.0;0.0;0.0;0.0;0.0;25.496;0.0;0.0;0.0;0.0
3_0_10116_10236_16_24946.0;3;306;HAUTS DE BIENNE - BOIS AMONT;10116;10236;MOREZ GARE S.N.C.F.;2982 RUE DU VIVIER;0.0;0.0;0.0;24.946;24.946;24.946;0.0;0.0;0.0;0.0;24.946
3_0_10116_10236_17_25919.0;3;306;HAUTS DE BIENNE - BOIS AMONT;10116;10236;MOREZ GARE S.N.C.F.;2982 RUE DU VIVIER;0.0;0.0;0.0;25.919;25.919;25.919;0.0;0.0;0.0;0.0;25.919
3_0_10116_10236_17_28371.0;3;306;HAUTS DE BIENNE - BOIS AMONT;10116;10236;MOREZ GARE S.N.C.F.;2982 RUE DU VIVIER;0.0;0.0;0.0;0.0;0.0;0.0;28.371;0.0;0.0;0.0;0.0
3_0_10116_10236_18_27677.0;3;306;HAUTS DE BIENNE - BOIS AMONT;10116;10236;MOREZ GARE S.N.C.F.;2982 RUE DU VIVIER;0.0;0.0;27.677;0.0;0.0;0.0;27.677;27.677;27.677;0.0;0.0
3_1_10236_10117_17_24071.0;3;306;HAUTS DE BIENNE - BOIS AMONT;10236;10117;2982 RUE DU VIVIER;MOREZ VILLE;0.0;0.0;0.0;24.071;24.071;24.071;24.071;0.0;0.0;0.0;24.071
