agency_id;route_id;network_id;route_short_name;route_long_name;route_type;route_color;route_text_color;id_ligne_num;mode;Origin;Destination
SEM;1;CHRONO;C1;Grenoble Cité Jean Macé / Montbonnot-Saint-Martin Pré de l'Eau;3;F5D24D;000000;1;bus;MONTBONNOT-SAINT-MARTIN, PRE DE L'EAU;GRENOBLE, VICTOR HUGO
SEM;2;CHRONO;C2;Grenoble Louise Michel / Claix Pont Rouge;3;F5D24D;000000;2;bus;CLAIX, PONT ROUGE;GRENOBLE, STADE LESDIGUIERES
SEM;3;CHRONO;C3;Échirolles Centre du graphisme / Grenoble Victor Hugo;3;F5D24D;000000;3;bus;GRENOBLE, VICTOR HUGO;ECHIROLLES, CENTRE DU GRAPHISME
SEM;4;CHRONO;C4;Grenoble Victor Hugo / Eybens Le Verderet;3;F5D24D;000000;4;bus;EYBENS, LE VERDERET;GRENOBLE, VICTOR HUGO
SEM;5;CHRONO;C5;Gières Université - Biologie / Grenoble Palais de Justice - Gare;3;F5D24D;000000;5;bus;GRENOBLE, ESCLANGON;GIERES, UNIVERSITE - BIOLOGIE
SEM;6;CHRONO;C6;Eybens Maisons Neuves / Grenoble Oxford;3;F5D24D;000000;6;bus;GRENOBLE, OXFORD;EYBENS, MAISONS NEUVES
SEM;7;CHRONO;C7;Échirolles Comboire / Saint-Martin-d'Hères Henri Wallon;3;F5D24D;000000;7;bus;SAINT-MARTIN-D'HERES, ETIENNE GRAPPE;ECHIROLLES, DRAC
SEM;8;CHRONO;C8;Grenoble Victor Hugo - Belgrade / Gières Université - IUT-STAPS;3;F5D24D;000000;8;bus;GIERES, UNIVERSITE - IUT-STAPS;GRENOBLE, VICTOR HUGO - BELGRADE
SEM;10;CHRONO_PERI;C10;Bernin Cloyères / Échirolles Marie Curie;3;EF7C00;FFFFFF;9;bus;ECHIROLLES, ANTOINE POLOTTI;BERNIN, CLOYERES
SEM;14;CHRONO_PERI;C14;Grenoble Gares / St-Georges-de-Commiers Gare;3;EF7C00;FFFFFF;10;bus;LE GUA, LES SAILLANTS;GRENOBLE, ALSACE-LORRAINE
SEM;15;PROXIMO;15;Domène Les Arnauds / Domène Chenevières / Grenoble Verdun - Préfecture;3;1E71B8;FFFFFF;11;bus;DOMENE, LES VERNES;GRENOBLE, VERDUN - PREFECTURE
