id_ligne_num;route_short_name;route_long_name;sous_ligne;id_ag_num_debut;id_ag_num_terminus;direction_id;nb_arrets;DIST_Vol_Oiseau;ag_origin_name;ag_destination_name
1;C1;Grenoble Cité Jean Macé / Montbonnot-Saint-Martin Pré de l'Eau;1_0_10255_10767_26_5370.0;10255;10767;0;26;5370.0;MONTBONNOT-SAINT-MARTIN, PRE DE L'EAU;GRENOBLE, VICTOR HUGO
1;C1;Grenoble Cité Jean Macé / Montbonnot-Saint-Martin Pré de l'Eau;1_0_10526_10767_26_8818.0;10526;10767;0;26;8818.0;MEYLAN, MAISON DE LA MUSIQUE;GRENOBLE, VICTOR HUGO
1;C1;Grenoble Cité Jean Macé / Montbonnot-Saint-Martin Pré de l'Eau;1_0_10680_10767_26_11532.0;10680;10767;0;26;11532.0;LA TRONCHE, SABLONS;GRENOBLE, VICTOR HUGO
1;C1;Grenoble Cité Jean Macé / Montbonnot-Saint-Martin Pré de l'Eau;1_1_10155_10255_25_6529.0;10155;10255;1;25;6529.0;GRENOBLE, CHAVANT;MONTBONNOT-SAINT-MARTIN, PRE DE L'EAU
2;C2;Grenoble Louise Michel / Claix Pont Rouge;2_0_10631_10708_15_4471.0;10631;10708;0;15;4471.0;CLAIX, PONT ROUGE;GRENOBLE, STADE LESDIGUIERES
2;C2;Grenoble Louise Michel / Claix Pont Rouge;2_1_10708_10631_15_4471.0;10708;10631;1;15;4471.0;GRENOBLE, STADE LESDIGUIERES;CLAIX, PONT ROUGE
3;C3;Échirolles Centre du graphisme / Grenoble Victor Hugo;3_0_10767_10327_12_0.0;10767;10327;0;12;0.0;GRENOBLE, VICTOR HUGO;GRENOBLE, GRAND'PLACE
3;C3;Échirolles Centre du graphisme / Grenoble Victor Hugo;3_0_10767_10333_22_310.0;10767;10333;0;22;310.0;GRENOBLE, VICTOR HUGO;ECHIROLLES, CENTRE DU GRAPHISME
3;C3;Échirolles Centre du graphisme / Grenoble Victor Hugo;3_1_10327_10767_13_0.0;10327;10767;1;13;0.0;GRENOBLE, GRAND'PLACE;GRENOBLE, VICTOR HUGO
3;C3;Échirolles Centre du graphisme / Grenoble Victor Hugo;3_1_10327_10767_14_0.0;10327;10767;1;14;0.0;GRENOBLE, GRAND'PLACE;GRENOBLE, VICTOR HUGO
3;C3;Échirolles Centre du graphisme / Grenoble Victor Hugo;3_1_10333_10767_22_818.0;10333;10767;1;22;818.0;ECHIROLLES, CENTRE DU GRAPHISME;GRENOBLE, VICTOR HUGO
3;C3;Échirolles Centre du graphisme / Grenoble Victor Hugo;3_1_10333_10767_23_818.0;10333;10767;1;23;818.0;ECHIROLLES, CENTRE DU GRAPHISME;GRENOBLE, VICTOR HUGO
4;C4;Grenoble Victor Hugo / Eybens Le Verderet;4_0_10241_10767_12_718.0;10241;10767;0;12;718.0;EYBENS, GENERAL DE GAULLE;GRENOBLE, VICTOR HUGO
4;C4;Grenoble Victor Hugo / Eybens Le Verderet;4_0_10473_10767_11_322.0;10473;10767;0;11;322.0;EYBENS, MAISONS NEUVES;GRENOBLE, VICTOR HUGO
