id_ligne_num;service_id;id_service_num;Date_GTFS;Type_Jour
1;HI2526-01LVHfi-Semaine-011;25;20260330;1
1;HI2526-01LVHfi-Semaine-011;25;20260331;2
1;HI2526-01LVHfi-Semaine-011;25;20260401;3
1;HI2526-01LVHfi-Semaine-011;25;20260326;4
1;HI2526-01LVHfi-Semaine-011;25;20260327;5
1;HI2526-01SAHfi-Samedi-010;66;20260328;6
1;HI2526-01DFfi-Dimanche-011;77;20260329;7
2;HI2526-02LVHfi-Semaine-010;39;20260330;1
2;HI2526-02LVHfi-Semaine-010;39;20260331;2
2;HI2526-02LVHfi-Semaine-010;39;20260401;3
2;HI2526-02LVHfi-Semaine-010;39;20260326;4
2;HI2526-02LVHfi-Semaine-010;39;20260327;5
2;HI2526-02SAHfi-Samedi-010;87;20260328;6
2;HI2526-02DFfi-Dimanche-011;92;20260329;7
3;HI2526-03DFfi-Dimanche-012;13;20260329;7
3;HI2526-03LVHPfi-Semaine-014;76;20260330;1
3;HI2526-03LVHPfi-Semaine-014;76;20260331;2
3;HI2526-03LVHPfi-Semaine-014;76;20260401;3
3;HI2526-03LVHPfi-Semaine-014;76;20260326;4
3;HI2526-03LVHPfi-Semaine-014;76;20260327;5
3;HI2526-03SAHPfi-Samedi-011;105;20260328;6
4;HI2526-03DFfi-Dimanche-012;13;20260329;7
4;HI2526-03LVHPfi-Semaine-014;76;20260330;1
4;HI2526-03LVHPfi-Semaine-014;76;20260331;2
4;HI2526-03LVHPfi-Semaine-014;76;20260401;3
4;HI2526-03LVHPfi-Semaine-014;76;20260326;4
4;HI2526-03LVHPfi-Semaine-014;76;20260327;5
4;HI2526-03SAHPfi-Samedi-011;105;20260328;6
5;HI2526-05SAHfi-Samedi-010;6;20260328;6
5;HI2526-05DFHfi-Dimanche-013;15;20260329;7
5;HI2526-05LVHfi-Semaine-010;73;20260330;1
5;HI2526-05LVHfi-Semaine-010;73;20260331;2
5;HI2526-05LVHfi-Semaine-010;73;20260401;3
5;HI2526-05LVHfi-Semaine-010;73;20260326;4
5;HI2526-05LVHfi-Semaine-010;73;20260327;5
6;HI2526-06DFfi-Dimanche-011;27;20260329;7
6;HI2526-06SAHfi-Samedi-011;70;20260328;6
6;HI2526-06LVHfi-Semaine-011;110;20260330;1
6;HI2526-06LVHfi-Semaine-011;110;20260331;2
6;HI2526-06LVHfi-Semaine-011;110;20260401;3
6;HI2526-06LVHfi-Semaine-011;110;20260326;4
6;HI2526-06LVHfi-Semaine-011;110;20260327;5
7;HI2526-07LVHfi-Semaine-011;68;20260330;1
7;HI2526-07LVHfi-Semaine-011;68;20260331;2
