id_ligne_num;route_short_name;route_long_name;1;2;3;4;5;6;7
1;C1;Grenoble Cité Jean Macé / Montbonnot-Saint-Martin Pré de l'Eau;214.0;214.0;214.0;214.0;214.0;165.0;107.0
2;C2;Grenoble Louise Michel / Claix Pont Rouge;245.0;245.0;245.0;245.0;245.0;182.0;109.0
3;C3;Échirolles Centre du graphisme / Grenoble Victor Hugo;243.0;243.0;243.0;243.0;243.0;166.0;102.0
4;C4;Grenoble Victor Hugo / Eybens Le Verderet;243.0;243.0;243.0;243.0;243.0;166.0;102.0
5;C5;Gières Université - Biologie / Grenoble Palais de Justice - Gare;213.0;213.0;213.0;213.0;213.0;180.0;103.0
6;C6;Eybens Maisons Neuves / Grenoble Oxford;175.0;175.0;175.0;175.0;175.0;161.0;101.0
7;C7;Échirolles Comboire / Saint-Martin-d'Hères Henri Wallon;191.0;191.0;191.0;191.0;178.0;164.0;100.0
8;C8;Grenoble Victor Hugo - Belgrade / Gières Université - IUT-STAPS;215.0;215.0;215.0;215.0;215.0;161.0;99.0
9;C10;Bernin Cloyères / Échirolles Marie Curie;81.0;81.0;81.0;81.0;81.0;29.0;0.0
10;C14;Grenoble Gares / St-Georges-de-Commiers Gare;78.0;78.0;78.0;78.0;78.0;0.0;0.0
11;15;Domène Les Arnauds / Domène Chenevières / Grenoble Verdun - Préfecture;140.0;140.0;140.0;140.0;140.0;114.0;54.0
12;16;Le Pont-de-Claix Gendarmerie / Saint-Martin-d'Hères Les Alloves;139.0;139.0;139.0;139.0;139.0;90.0;54.0
13;17;Grenoble Verdun - Préfecture / Meylan Lycée du Grésivaudan;102.0;102.0;102.0;102.0;102.0;62.0;28.0
14;18;Meylan Lycée du Grésivaudan / Poisat Cimetière Intercommunal;137.0;137.0;134.0;137.0;139.0;90.0;56.0
15;19;Sassenage L'Ovalie / Seyssins Garlettes;94.0;94.0;94.0;94.0;94.0;59.0;38.0
16;20;Veurey-Voroize La Rive / Seyssinet-Pariset Hôtel de Ville;136.0;136.0;136.0;136.0;136.0;62.0;36.0
17;21;Seyssins Le Prisme / Claix Pont Rouge;83.0;83.0;83.0;83.0;83.0;58.0;28.0
18;22;Grenoble Oxford / Saint-Égrève Gare;90.0;90.0;90.0;90.0;90.0;59.0;27.0
19;23;Saint-Martin-d'Hères Université - Bibliothèques / Vizille Le Péage;76.0;76.0;76.0;76.0;76.0;32.0;26.0
20;24;Gières Gare - Chamandier / Grenoble Verdun - Préfecture;98.0;98.0;98.0;98.0;98.0;62.0;30.0
21;25;Grenoble Colonel Dumont / Le Gua Les Saillants;90.0;90.0;90.0;90.0;90.0;72.0;30.0
22;41;La Tronche Grand Sablon / Corenc La Garenne;23.0;23.0;23.0;23.0;23.0;24.0;0.0
23;42;Meylan Place de la Louisiane / Montbonnot-Saint-Martin Pré de l'Eau;58.0;58.0;58.0;58.0;58.0;24.0;24.0
24;44;Miribel-Lanchâtre Le Vernay / Le Gua Prélenfrey Eglise / Col de l'Arzelier / Le Gua Les Saillants;29.0;29.0;29.0;29.0;29.0;20.0;0.0
25;45;Vif La Valonne / Varces-Allières-et-Risset Rond Point de l'Europe;15.0;15.0;16.0;15.0;15.0;12.0;0.0
26;46;Varces-Allières-et-Risset Rond Point de l'Europe / Saint-Paul-de-Varces Place;25.0;25.0;25.0;25.0;25.0;14.0;0.0
27;47;Varces-Allières-et-Risset Risset / Claix Val d'Allières;29.0;29.0;29.0;29.0;29.0;16.0;0.0
28;48;Claix Pont Rouge / Claix Cossey;12.0;12.0;12.0;12.0;12.0;12.0;0.0
