sous_ligne;id_ligne_num;route_short_name;route_long_name;Type_Jour;Debut;Fin;Nb_courses;Duree;Headway_FM;Headway_HPM;Headway_HC;Headway_HPS;Headway_FS
1_0_10255_10767_26_5370.0;1;C1;Grenoble Cité Jean Macé / Montbonnot-Saint-Martin Pré de l'Eau;1;0.22430555555555556;1.0270833333333333;105;0.8027777777777778;20.125;7.999999999999998;9.411764705882353;8.33333333333333;26.3846153846154
1_0_10255_10767_26_5370.0;1;C1;Grenoble Cité Jean Macé / Montbonnot-Saint-Martin Pré de l'Eau;2;0.22430555555555556;1.0270833333333333;105;0.8027777777777778;20.125;7.999999999999998;9.411764705882353;8.33333333333333;26.3846153846154
1_0_10255_10767_26_5370.0;1;C1;Grenoble Cité Jean Macé / Montbonnot-Saint-Martin Pré de l'Eau;3;0.22430555555555556;1.0270833333333333;105;0.8027777777777778;20.125;7.999999999999998;9.411764705882353;8.33333333333333;26.3846153846154
1_0_10255_10767_26_5370.0;1;C1;Grenoble Cité Jean Macé / Montbonnot-Saint-Martin Pré de l'Eau;4;0.22430555555555556;1.0270833333333333;105;0.8027777777777778;20.125;7.999999999999998;9.411764705882353;8.33333333333333;26.3846153846154
1_0_10255_10767_26_5370.0;1;C1;Grenoble Cité Jean Macé / Montbonnot-Saint-Martin Pré de l'Eau;5;0.22430555555555556;1.0270833333333333;105;0.8027777777777778;20.125;7.999999999999998;9.411764705882353;8.33333333333333;26.3846153846154
1_0_10255_10767_26_5370.0;1;C1;Grenoble Cité Jean Macé / Montbonnot-Saint-Martin Pré de l'Eau;6;0.225;1.025;82;0.7999999999999999;26.833333333333332;13.33333333333333;11.162790697674419;11.538461538461535;31.1818181818182
1_0_10255_10767_26_5370.0;1;C1;Grenoble Cité Jean Macé / Montbonnot-Saint-Martin Pré de l'Eau;7;0.22916666666666669;1.023611111111111;52;0.7944444444444443;32.2;19.999999999999996;20.869565217391305;21.42857142857142;31.1818181818182
1_0_10526_10767_26_8818.0;1;C1;Grenoble Cité Jean Macé / Montbonnot-Saint-Martin Pré de l'Eau;7;0.4986111111111111;0.5222222222222223;1;0.023611111111111138;;;480.0;;
1_1_10155_10255_25_6529.0;1;C1;Grenoble Cité Jean Macé / Montbonnot-Saint-Martin Pré de l'Eau;1;0.23194444444444445;1.0395833333333333;109;0.8076388888888888;20.125;6.666666666666665;9.056603773584905;8.823529411764703;26.3846153846154
1_1_10155_10255_25_6529.0;1;C1;Grenoble Cité Jean Macé / Montbonnot-Saint-Martin Pré de l'Eau;2;0.23194444444444445;1.0395833333333333;109;0.8076388888888888;20.125;6.666666666666665;9.056603773584905;8.823529411764703;26.3846153846154
1_1_10155_10255_25_6529.0;1;C1;Grenoble Cité Jean Macé / Montbonnot-Saint-Martin Pré de l'Eau;3;0.23194444444444445;1.0395833333333333;109;0.8076388888888888;20.125;6.666666666666665;9.056603773584905;8.823529411764703;26.3846153846154
1_1_10155_10255_25_6529.0;1;C1;Grenoble Cité Jean Macé / Montbonnot-Saint-Martin Pré de l'Eau;4;0.23194444444444445;1.0395833333333333;109;0.8076388888888888;20.125;6.666666666666665;9.056603773584905;8.823529411764703;26.3846153846154
1_1_10155_10255_25_6529.0;1;C1;Grenoble Cité Jean Macé / Montbonnot-Saint-Martin Pré de l'Eau;5;0.23194444444444445;1.0395833333333333;109;0.8076388888888888;20.125;6.666666666666665;9.056603773584905;8.823529411764703;26.3846153846154
1_1_10155_10255_25_6529.0;1;C1;Grenoble Cité Jean Macé / Montbonnot-Saint-Martin Pré de l'Eau;6;0.22916666666666669;1.038888888888889;83;0.8097222222222222;32.2;13.33333333333333;11.162790697674419;10.71428571428571;28.583333333333353
1_1_10155_10255_25_6529.0;1;C1;Grenoble Cité Jean Macé / Montbonnot-Saint-Martin Pré de l'Eau;7;0.22916666666666669;1.0375;54;0.8083333333333333;32.2;19.999999999999996;20.0;21.42857142857142;28.583333333333353
2_0_10631_10708_15_4471.0;2;C2;Grenoble Louise Michel / Claix Pont Rouge;1;0.2152777777777778;1.0277777777777777;122;0.8124999999999999;16.1;7.058823529411763;7.868852459016393;7.89473684210526;22.86666666666668
2_0_10631_10708_15_4471.0;2;C2;Grenoble Louise Michel / Claix Pont Rouge;2;0.2152777777777778;1.0277777777777777;122;0.8124999999999999;16.1;7.058823529411763;7.868852459016393;7.89473684210526;22.86666666666668
2_0_10631_10708_15_4471.0;2;C2;Grenoble Louise Michel / Claix Pont Rouge;3;0.2152777777777778;1.0277777777777777;122;0.8124999999999999;16.1;7.058823529411763;7.868852459016393;7.89473684210526;22.86666666666668
2_0_10631_10708_15_4471.0;2;C2;Grenoble Louise Michel / Claix Pont Rouge;4;0.2152777777777778;1.0277777777777777;122;0.8124999999999999;16.1;7.058823529411763;7.868852459016393;7.89473684210526;22.86666666666668
2_0_10631_10708_15_4471.0;2;C2;Grenoble Louise Michel / Claix Pont Rouge;5;0.2152777777777778;1.0277777777777777;122;0.8124999999999999;16.1;7.058823529411763;7.868852459016393;7.89473684210526;22.86666666666668
2_0_10631_10708_15_4471.0;2;C2;Grenoble Louise Michel / Claix Pont Rouge;6;0.21944444444444444;1.0277777777777777;91;0.8083333333333332;20.125;13.33333333333333;10.909090909090908;9.999999999999996;22.86666666666668
2_0_10631_10708_15_4471.0;2;C2;Grenoble Louise Michel / Claix Pont Rouge;7;0.24583333333333335;1.0277777777777777;54;0.7819444444444443;40.25;19.999999999999996;20.0;21.42857142857142;26.3846153846154
2_1_10708_10631_15_4471.0;2;C2;Grenoble Louise Michel / Claix Pont Rouge;1;0.22916666666666669;1.0534722222222224;123;0.8243055555555556;20.125;7.499999999999998;7.741935483870968;7.89473684210526;19.055555555555568
2_1_10708_10631_15_4471.0;2;C2;Grenoble Louise Michel / Claix Pont Rouge;2;0.22916666666666669;1.0534722222222224;123;0.8243055555555556;20.125;7.499999999999998;7.741935483870968;7.89473684210526;19.055555555555568
2_1_10708_10631_15_4471.0;2;C2;Grenoble Louise Michel / Claix Pont Rouge;3;0.22916666666666669;1.0534722222222224;123;0.8243055555555556;20.125;7.499999999999998;7.741935483870968;7.89473684210526;19.055555555555568
2_1_10708_10631_15_4471.0;2;C2;Grenoble Louise Michel / Claix Pont Rouge;4;0.22916666666666669;1.0534722222222224;123;0.8243055555555556;20.125;7.499999999999998;7.741935483870968;7.89473684210526;19.055555555555568
2_1_10708_10631_15_4471.0;2;C2;Grenoble Louise Michel / Claix Pont Rouge;5;0.22916666666666669;1.0534722222222224;123;0.8243055555555556;20.125;7.499999999999998;7.741935483870968;7.89473684210526;19.055555555555568
2_1_10708_10631_15_4471.0;2;C2;Grenoble Louise Michel / Claix Pont Rouge;6;0.22916666666666669;1.0548611111111112;91;0.8256944444444445;26.833333333333332;13.33333333333333;10.666666666666666;10.71428571428571;20.176470588235308
2_1_10708_10631_15_4471.0;2;C2;Grenoble Louise Michel / Claix Pont Rouge;7;0.25555555555555554;1.0555555555555556;55;0.8;53.666666666666664;19.999999999999996;20.0;21.42857142857142;22.86666666666668
3_0_10767_10327_12_0.0;3;C3;Échirolles Centre du graphisme / Grenoble Victor Hugo;1;0.3125;0.7763888888888889;12;0.4638888888888889;;39.99999999999999;240.0;21.42857142857142;
3_0_10767_10327_12_0.0;3;C3;Échirolles Centre du graphisme / Grenoble Victor Hugo;2;0.3125;0.7763888888888889;12;0.4638888888888889;;39.99999999999999;240.0;21.42857142857142;
3_0_10767_10327_12_0.0;3;C3;Échirolles Centre du graphisme / Grenoble Victor Hugo;3;0.3125;0.7763888888888889;12;0.4638888888888889;;39.99999999999999;240.0;21.42857142857142;
3_0_10767_10327_12_0.0;3;C3;Échirolles Centre du graphisme / Grenoble Victor Hugo;4;0.3125;0.7763888888888889;12;0.4638888888888889;;39.99999999999999;240.0;21.42857142857142;
3_0_10767_10327_12_0.0;3;C3;Échirolles Centre du graphisme / Grenoble Victor Hugo;5;0.3125;0.7763888888888889;12;0.4638888888888889;;39.99999999999999;240.0;21.42857142857142;
3_0_10767_10333_22_310.0;3;C3;Échirolles Centre du graphisme / Grenoble Victor Hugo;1;0.23958333333333334;1.0326388888888889;109;0.7930555555555555;26.833333333333332;7.499999999999998;8.275862068965518;9.999999999999996;24.500000000000018
3_0_10767_10333_22_310.0;3;C3;Échirolles Centre du graphisme / Grenoble Victor Hugo;2;0.23958333333333334;1.0326388888888889;109;0.7930555555555555;26.833333333333332;7.499999999999998;8.275862068965518;9.999999999999996;24.500000000000018
3_0_10767_10333_22_310.0;3;C3;Échirolles Centre du graphisme / Grenoble Victor Hugo;3;0.23958333333333334;1.0326388888888889;109;0.7930555555555555;26.833333333333332;7.499999999999998;8.275862068965518;9.999999999999996;24.500000000000018
3_0_10767_10333_22_310.0;3;C3;Échirolles Centre du graphisme / Grenoble Victor Hugo;4;0.23958333333333334;1.0326388888888889;109;0.7930555555555555;26.833333333333332;7.499999999999998;8.275862068965518;9.999999999999996;24.500000000000018
3_0_10767_10333_22_310.0;3;C3;Échirolles Centre du graphisme / Grenoble Victor Hugo;5;0.23958333333333334;1.0326388888888889;109;0.7930555555555555;26.833333333333332;7.499999999999998;8.275862068965518;9.999999999999996;24.500000000000018
3_0_10767_10333_22_310.0;3;C3;Échirolles Centre du graphisme / Grenoble Victor Hugo;6;0.24027777777777778;1.0333333333333334;83;0.7930555555555556;40.25;13.33333333333333;11.162790697674419;10.71428571428571;26.3846153846154
3_0_10767_10333_22_310.0;3;C3;Échirolles Centre du graphisme / Grenoble Victor Hugo;7;0.2611111111111111;1.0326388888888889;51;0.7715277777777778;53.666666666666664;19.999999999999996;20.869565217391305;18.749999999999993;31.1818181818182
3_1_10327_10767_13_0.0;3;C3;Échirolles Centre du graphisme / Grenoble Victor Hugo;1;0.29444444444444445;0.7652777777777777;10;0.47083333333333327;;29.999999999999993;240.0;37.499999999999986;
