sous_ligne;id_ligne_num;route_short_name;route_long_name;1;2;3;4;5;6;7
1_0_10255_10767_26_5370.0;1;C1;Grenoble Cité Jean Macé / Montbonnot-Saint-Martin Pré de l'Eau;563.85;563.85;563.85;563.85;563.85;440.34;279.24
1_0_10526_10767_26_8818.0;1;C1;Grenoble Cité Jean Macé / Montbonnot-Saint-Martin Pré de l'Eau;0.0;0.0;0.0;0.0;0.0;0.0;8.818
1_1_10155_10255_25_6529.0;1;C1;Grenoble Cité Jean Macé / Montbonnot-Saint-Martin Pré de l'Eau;711.661;711.661;711.661;711.661;711.661;541.907;352.566
2_0_10631_10708_15_4471.0;2;C2;Grenoble Louise Michel / Claix Pont Rouge;545.462;545.462;545.462;545.462;545.462;406.861;241.434
2_1_10708_10631_15_4471.0;2;C2;Grenoble Louise Michel / Claix Pont Rouge;549.933;549.933;549.933;549.933;549.933;406.861;245.905
3_0_10767_10327_12_0.0;3;C3;Échirolles Centre du graphisme / Grenoble Victor Hugo;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3_0_10767_10333_22_310.0;3;C3;Échirolles Centre du graphisme / Grenoble Victor Hugo;33.79;33.79;33.79;33.79;33.79;25.73;15.81
3_1_10327_10767_13_0.0;3;C3;Échirolles Centre du graphisme / Grenoble Victor Hugo;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3_1_10333_10767_22_818.0;3;C3;Échirolles Centre du graphisme / Grenoble Victor Hugo;91.616;91.616;91.616;91.616;91.616;67.894;41.718
4_0_10241_10767_12_718.0;4;C4;Grenoble Victor Hugo / Eybens Le Verderet;1.436;1.436;1.436;1.436;1.436;0.0;0.0
4_0_10473_10767_11_322.0;4;C4;Grenoble Victor Hugo / Eybens Le Verderet;1.61;1.61;1.61;1.61;1.61;0.0;0.0
4_0_10758_10767_17_981.0;4;C4;Grenoble Victor Hugo / Eybens Le Verderet;111.834;111.834;111.834;111.834;111.834;81.423;50.031
4_1_10767_10241_12_718.0;4;C4;Grenoble Victor Hugo / Eybens Le Verderet;7.898;7.898;7.898;7.898;7.898;0.0;0.0
4_1_10767_10758_17_1281.0;4;C4;Grenoble Victor Hugo / Eybens Le Verderet;142.191;142.191;142.191;142.191;142.191;106.323;65.331
5_0_10279_10079_27_2648.0;5;C5;Gières Université - Biologie / Grenoble Palais de Justice - Gare;285.984;285.984;285.984;285.984;285.984;238.32;137.696
5_1_10079_10279_27_3391.0;5;C5;Gières Université - Biologie / Grenoble Palais de Justice - Gare;356.055;356.055;356.055;356.055;356.055;305.19;172.941
6_0_10487_10473_31_5439.0;6;C6;Eybens Maisons Neuves / Grenoble Oxford;5.439;5.439;5.439;5.439;5.439;16.317;0.0
6_0_10548_10327_27_3972.0;6;C6;Eybens Maisons Neuves / Grenoble Oxford;27.804;27.804;27.804;27.804;27.804;27.804;27.804
6_0_10548_10473_31_5130.0;6;C6;Eybens Maisons Neuves / Grenoble Oxford;405.27;405.27;405.27;405.27;405.27;359.1;220.59
6_1_10327_10548_26_3972.0;6;C6;Eybens Maisons Neuves / Grenoble Oxford;23.832;23.832;23.832;23.832;23.832;23.832;23.832
6_1_10473_10548_30_5130.0;6;C6;Eybens Maisons Neuves / Grenoble Oxford;420.66;420.66;420.66;420.66;420.66;384.75;230.85
7_0_10282_10249_25_2265.0;7;C7;Échirolles Comboire / Saint-Martin-d'Hères Henri Wallon;212.91;212.91;212.91;212.91;199.32;187.995;113.25
7_1_10207_10282_25_4429.0;7;C7;Échirolles Comboire / Saint-Martin-d'Hères Henri Wallon;429.613;429.613;429.613;429.613;398.61;358.749;221.45
8_0_10079_10066_36_2864.0;8;C8;Grenoble Victor Hugo - Belgrade / Gières Université - IUT-STAPS;25.776;25.776;25.776;25.776;25.776;117.424;140.336
8_0_10327_10066_20_206.0;8;C8;Grenoble Victor Hugo - Belgrade / Gières Université - IUT-STAPS;1.236;1.236;1.236;1.236;1.236;0.0;0.0
8_0_10367_10066_38_3510.0;8;C8;Grenoble Victor Hugo - Belgrade / Gières Université - IUT-STAPS;326.43;326.43;326.43;326.43;326.43;136.89;0.0
8_1_10066_10079_37_1481.0;8;C8;Grenoble Victor Hugo - Belgrade / Gières Université - IUT-STAPS;10.367;10.367;10.367;10.367;10.367;62.202;74.05
8_1_10066_10367_39_2127.0;8;C8;Grenoble Victor Hugo - Belgrade / Gières Université - IUT-STAPS;204.192;204.192;204.192;204.192;204.192;82.953;0.0
8_1_10347_10327_12_268.0;8;C8;Grenoble Victor Hugo - Belgrade / Gières Université - IUT-STAPS;0.268;0.268;0.268;0.268;0.268;0.0;0.0
8_1_10708_10367_22_1477.0;8;C8;Grenoble Victor Hugo - Belgrade / Gières Université - IUT-STAPS;4.431;4.431;4.431;4.431;4.431;0.0;0.0
9_0_10600_10194_38_9290.0;9;C10;Bernin Cloyères / Échirolles Marie Curie;380.89;380.89;380.89;380.89;380.89;139.35;0.0
9_1_10194_10600_37_12767.0;9;C10;Bernin Cloyères / Échirolles Marie Curie;510.68;510.68;510.68;510.68;510.68;178.738;0.0
10_0_10682_10022_18_20735.0;10;C14;Grenoble Gares / St-Georges-de-Commiers Gare;41.47;41.47;41.47;41.47;41.47;0.0;0.0
10_0_10682_10022_23_20771.0;10;C14;Grenoble Gares / St-Georges-de-Commiers Gare;353.107;353.107;353.107;353.107;353.107;0.0;0.0
10_0_10718_10022_11_18940.0;10;C14;Grenoble Gares / St-Georges-de-Commiers Gare;56.82;56.82;56.82;56.82;56.82;0.0;0.0
10_0_10718_10022_16_18976.0;10;C14;Grenoble Gares / St-Georges-de-Commiers Gare;265.664;265.664;265.664;265.664;265.664;0.0;0.0
10_0_10749_10022_9_12431.0;10;C14;Grenoble Gares / St-Georges-de-Commiers Gare;49.724;49.724;49.724;49.724;49.724;0.0;0.0
10_1_10747_10682_23_19741.0;10;C14;Grenoble Gares / St-Georges-de-Commiers Gare;375.079;375.079;375.079;375.079;375.079;0.0;0.0
10_1_10747_10718_16_17946.0;10;C14;Grenoble Gares / St-Georges-de-Commiers Gare;340.974;340.974;340.974;340.974;340.974;0.0;0.0
11_0_10643_10759_24_690.0;11;15;Domène Les Arnauds / Domène Chenevières / Grenoble Verdun - Préfecture;24.15;24.15;24.15;24.15;24.15;19.32;8.97
11_0_10761_10759_25_690.0;11;15;Domène Les Arnauds / Domène Chenevières / Grenoble Verdun - Préfecture;24.15;24.15;24.15;24.15;24.15;20.01;9.66
11_1_10759_10643_24_1544.0;11;15;Domène Les Arnauds / Domène Chenevières / Grenoble Verdun - Préfecture;52.496;52.496;52.496;52.496;52.496;43.232;20.072
11_1_10759_10761_25_972.0;11;15;Domène Les Arnauds / Domène Chenevières / Grenoble Verdun - Préfecture;34.992;34.992;34.992;34.992;34.992;28.188;13.608
12_0_10011_10394_8_491.0;12;16;Le Pont-de-Claix Gendarmerie / Saint-Martin-d'Hères Les Alloves;0.491;0.491;0.491;0.491;0.491;0.0;0.0
12_0_10242_10394_13_491.0;12;16;Le Pont-de-Claix Gendarmerie / Saint-Martin-d'Hères Les Alloves;0.491;0.491;0.491;0.491;0.491;0.0;0.0
12_0_10356_10394_36_2110.0;12;16;Le Pont-de-Claix Gendarmerie / Saint-Martin-d'Hères Les Alloves;145.59;145.59;145.59;145.59;145.59;94.95;56.97
12_1_10394_10020_34_1770.0;12;16;Le Pont-de-Claix Gendarmerie / Saint-Martin-d'Hères Les Alloves;120.36;120.36;120.36;120.36;120.36;79.65;47.79
13_0_10238_10759_14_0.0;13;17;Grenoble Verdun - Préfecture / Meylan Lycée du Grésivaudan;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13_0_10465_10759_21_0.0;13;17;Grenoble Verdun - Préfecture / Meylan Lycée du Grésivaudan;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13_1_10759_10465_20_472.0;13;17;Grenoble Verdun - Préfecture / Meylan Lycée du Grésivaudan;10.384;10.384;10.384;10.384;10.384;4.72;0.0
13_1_10759_10514_13_472.0;13;17;Grenoble Verdun - Préfecture / Meylan Lycée du Grésivaudan;13.688;13.688;13.688;13.688;13.688;9.912;6.608
14_0_10033_10759_9_1125.0;14;18;Meylan Lycée du Grésivaudan / Poisat Cimetière Intercommunal;2.25;2.25;0.0;2.25;3.375;0.0;0.0
14_0_10155_10465_20_2909.0;14;18;Meylan Lycée du Grésivaudan / Poisat Cimetière Intercommunal;2.909;2.909;2.909;2.909;2.909;0.0;0.0
14_0_10655_10465_35_3231.0;14;18;Meylan Lycée du Grésivaudan / Poisat Cimetière Intercommunal;213.246;213.246;213.246;213.246;213.246;148.626;90.468
14_1_10465_10430_34_3085.0;14;18;Meylan Lycée du Grésivaudan / Poisat Cimetière Intercommunal;203.61;203.61;203.61;203.61;203.61;135.74;86.38
